i,1769.7350000000001
 ,1918.5200000000002
s,2102.9150000000004
t,2181
o,2278.045
l,2454.495
e,2542.4700000000003
 ,2648.7200000000003
t,2748.9100000000003
h,2866.13
i,2936.935
s,3100.27
 ,3303.2200000000007
t,3526.25
h,3621.5800000000004
i,3687.9450000000006
s,3799.8900000000003
 ,3942.9650000000006
i,4233.89
s,4370.535
 ,4512.0650000000005
a,4725.3550000000005
 ,4866.300000000001
s,5207.51
i,5571.570000000001
m,5694.1
p,5782.545000000001
l,5983.465000000001
e,6087.695
 ,6161.370000000001
p,6359.555
a,6492.63
r,6589.715000000001
a,6766.410000000001
g,7122.765
r,7315.030000000001
a,7382.425
p,7544.5650000000005
h,7629.495000000001
 ,7812.925000000001
t,8000.580000000001
h,8071.59
a,8154.410000000001
t,8225.61
 ,8314.910000000002
i,8474.395
s,8567.5
 ,8673.490000000002
m,8793.825
a,9185.585000000001
n,9535.955000000002
t,9739.3
 ,9899.710000000001
t,10120.95
o,10132.185000000001
 ,10529.275
b,10709.86
e,10895.715
 ,10979.255000000001
n,11356.205000000002
i,11484.455
c,11616.53
e,11791.875000000002
 ,11875.5
a,12010.74
n,12120.715
d,12208.990000000002
 ,12315.645000000002
e,12435.945
a,12531.380000000001
s,12632.58
y,12790.615000000002
 ,12896.205000000002
t,13000.95
o,13120.615000000002
 ,13269.415
t,13464.055000000002
y,13552.970000000001
p,13636.075000000003
e,13821.315000000002
 ,13976.495
w,14150.820000000002
h,14274.150000000001
i,14363.500000000002
c,14531.155000000002
h,14647.890000000001
 ,14792.060000000001
i,14946.295000000002
s,15041.440000000002
 ,15159.75
w,15261.690000000002
h,15362.460000000001
y,15533.470000000001
 ,15644.36
t,15803.710000000001
h,15870.020000000002
e,15981.000000000002
r,16037.295
e,16125.510000000002
 ,16266.180000000002
w,16368.045000000002
i,16482.62
l,16686.31
l,16819.185
 ,16911.27
b,17029.655000000002
e,17205.145
 ,17282.445000000003
m,17774.31
o,18005.865
m,18216.845
m,18370.93
a,18509.455
s,18695.95
 ,18821.825
n,19254.09
o,19341.925
 ,19486.355000000003
p,19656.14
e,19772.14
r,19855.93
i,19935.635000000002
o,20006.055
d,20145.170000000002
s,20246.53
 ,20353.585000000003
o,20494.445000000003
r,20646.09
 ,20741.050000000003
a,20935.275
n,20997.61
y,21161.100000000002
 ,21266.935
c,21461.105000000003
a,21565.86
p,21678.980000000003
i,21809.81
t,22267.645
a,22441.235000000004
l,22557.4
 ,22694.045000000002
l,22800.530000000002
e,22896.460000000003
t,22992.075000000004
t,23160.54
e,23259.570000000003
r,23347.965000000004
s,23480.94
 ,23575.205
s,23771.565000000002
o,23860.835000000003
 ,23970.905000000002
i,24081.52
 ,24146.985
g,24483.625000000004
u,24970.195
e,25101.575
s,25283.695000000003
s,25444.56
 ,25543.595000000005
t,25638.315000000002
h,25716.020000000004
i,25788.65
s,25830.760000000002
 ,25929.95
m,26045.535
e,26154.325000000004
a,26234.670000000002
n,26288.72
s,26403.97
 ,26557.955
